video_url,nama_akun,uploadDate,likes,shares,caption,comments
https://www.tiktok.com/@itbofficial/video/7565793463778675976,itbofficial,10-27,8055,737,Meromantisasi kampus tempat kami berteduh dan bercerita tentang hari ini 🌧️,Tunggu aku ya ITB | tunggu aku 1731 hari lagiITB | boleh ujan ujanan ga mas | min doain besok gua tka semoga nilai bagus suapaya bisa masuk itb sekali lagi IITEEBEE | tahun ini anak ku daftar disini mudahan ada rejekinya bisa lolosFSRD menyala | Pertamina udah setoran kah ke ITB | Doain aku biar masuk sini | TUNGGU AKU YAA ITB | tunggu bentar lagi | ITB seindah ini masa gaada aku nya sih
https://www.tiktok.com/@itbofficial/video/7564978015269080338,itbofficial,10-25,2778,46,"wisudawan ITB punya playlist lagu tema pas skripsian, kalau kalian apa? coba komen di bawah yaa 👇",ITB nerima SMK gak sih | bissmillah ITB | mau tanya di itb bisa ambil kelas karyawan tida | universitas impian | maba 20262027 siapa nichh yang di ITB | itb tunggu akuu yaaa  | ITB tungguin aku ya | pertamaa | ITB Terima aku plsss tahun depan | ITB plis terima akuuu
https://www.tiktok.com/@itbofficial/video/7564316233559067912,itbofficial,10-23,27.3K,1699,"Lihat deh, para lulusan ITB hari ini. Langkah mereka penuh makna, matanya penuh harapan. Setiap toga punya kisah, setiap senyum menyimpan perjuangan. Mereka bukan cuma lulus, tapi tumbuh jadi sosok yang siap menebar manfaat untuk Tuhan, Bangsa, dan Alamater 💙",ITB Adain jalur kasihan plis | pesona calon orang orang mapan | Jalur itb biasanya lwt apa yaa kaka soalnya tahun depan anak saya kuliah siapa tau bsa dpt rezeki kuliah di kampus ini | Anak saya alumni FSRD ITBTerima kasih ITBSekarang anak saya bekerja di LN | orang2 ga tidur tapi mukanya ttp ok jirr  | YANG PERTAMA CAKEPNYA KELEWATAN | punya ruang auditorium sendiri | hanya orang kaya yg bisa masuk kuliah di sinimungkin orang seperti saya mah gak akan bisa masukin anak kuliah di sini | hahaha arek smk bisa nggak ya | Kereen bgt baju wisudanyasmoga tetep keren sampe anakku lulus nanti jgn aneh2 modelnya
https://www.tiktok.com/@itbofficial/video/7556247764204604683,itbofficial,10-1,378,8,"Siapa nih yang masih mikir kalau pakai batik itu terlalu formal dan ga stylish? 🤔 Pasti kamu belum tau rahasianya. Biar tau, coba deh tonton video ini sampe akhir dan praktekin tipsnya besok di kampus ITB!",BISMILLAH ITB YA ALLAHHH | bissmilah itbuiugm | di itb bisa ambil kelas karyawan | minn doain akuu yaa biar bisaa kesituuu | ITB tungguin aku yah di situ | one day itb | cantikk Bett batik yaa | BISMILLAH ITB | keren | kak tahun depan siapin bangku fttm buat saya
https://www.tiktok.com/@itbofficial/video/7552039491612151052,itbofficial,9-20,2173,59,"Keseruan CIFEST 2025 di ITB Cirebon jadi momen seru mahasiswa baru untuk saling kenal, kompak, dan bangun semangat kebersamaan. Jangan sampai ketinggalan, pantau terus dan hadir di kegiatan kampus ITB Cirebon berikutnya!",univ impian terima aku ya nanti | aku like yah biar jadi seribu | jgn lupa Terima aku kak  | itb  | semoga tahun 2027 aku bisa maba di kampus ini tandai aku jika sudah 2027 ITB Pleaseeee terima sy | KAK TUNGGUIN AKU DI MASA DEPAN AKU PENGEN MASUM ITB | kalo gua disapa sama Univ ITB gua botak | masii lamaa siisemogaa keterimaa nantii | cara dapat beasiswa buat ke sana gimanacox anakq mau ke univ inj | frits
https://www.tiktok.com/@itbofficial/video/7545829885030272261,itbofficial,9-3,1484,43,"Di kampus ini, hari kesatu dan suatu hari. Dari hari kesatu teruslah berjuang hingga suatu hari kau temukan apa makna terbaik dari usaha dan doamu.",itb terima aku di 2027 yaa | terima aku ditahun 2030 ya | min ada yang hingo singo gitu ga lupa dia lagi kkn di rumah ku sama ada nama Lukas | POKOKNYA LUHK HARUS TERIMA GUA NANTI | bismillah | pertama min | Min tunggu aku ditahun 2028 yaacari aja yg dari batam | gercep nih dapet itb 2030 ga | kak tungguin aku ya | aku menanti itb
https://www.tiktok.com/@itbofficial/video/7543927298580286728,itbofficial,8-29,3830,93,"Mereka mungkin nggak hafal judul tugas akhir. Mungkin juga lupa cita-cita masa kecil. Tapi doa mereka buat kita? Itu yang nggak pernah berhenti, sepanjang hidup. Aku padamu, bapak ibu 🥹❤️🫰",mau jadi maba itb 2027 | 2029 InsyaaAllah siap diterima di ITBMRafa RP Aamiin Yaa Rabbal Aalamiin | gw alumni FTTM salam dari schlumberger  buckingham  | pasti bangga jadi org tua nya | sy berharap bs hadir di wisuda agustus  oktober 2025 alhamdulillah putra saya sudah ikatan dinas diADRO dan harus ke NEU SHENYANG | bismillah suatu hari nanti kalo duit dah kekumpul bakal masuk ke ITB | selamat ya anak hebat insyAlloh 2 thn lagi anak sy jadi wisudawan fftm itb Aammin semoga lancar dan bs lulus tepat waktu | Di FTMD ada cewek ga | putriku lulusan ITB jurusan paska panen Alhamdulillah sekarang sudah bekerja di jakarta di perusahaan colorindo  bergerak di bidang bahan cosmetik  | ITB tunggu aku ya di 202930
https://www.tiktok.com/@itbofficial/video/7543196800380062981,itbofficial,8-27,457,24,"Halo Wisudawan ITB! Sudah terima undangan digital berupa QR Code melalui email resmi ITB? Pastikan Anda melakukan registrasi sesuai panduan pada video ini agar acara wisuda berjalan lancar. Segera cek email Anda, dan datang tepat waktu di hari wisuda ya! Sampai bertemu di Sabuga ITB 🎓",semoga tahun 2026 bisa masuk ke sana Aamiin | haii ITB tunggu aku tahun depan yaasementara tahun ini aku masi di UPNVJT dulu  | ITB TAHUN DEPAN TERIMA AKUU YAAAA  | bismillah | FIRSSSTT | aaku ga diundang nie | apa buat wisudanya tanggal2325 oktober 2025 | kesatu | yuuu difotoin Outdoor murah | kapan ya
https://www.tiktok.com/@itbofficial/video/7540631025760668933,itbofficial,8-20,423,4,"Setiap anak bangsa memiliki pandangan yang berbeda tentang makna kemerdekaan. Ada yang memaknainya sebagai hasil perjuangan bangsa, ada pula yang melihatnya sebagai ruang untuk berkarya dan menggapai cita-cita. Kalau menurut kalian, apa arti kemerdekaan bagi generasi muda saat ini?",aku pengen merdeka jdi terima aku itb | aku camaba itb 2027 | ITB DOAIN AKUU PLS MASUKK SITUU | MINN TERIMA AKU TAHUN DEPANN YAAA | gimna ni | gercepp | hy itb | MERDEKA ITU KIRA RAIH DI TGL 28 DI JAKARTA DEPAN GEDUNG DPR | ITB terima aku ya 7 tahun lagi  | aku masih lama 8tahun lagi tapi pengen ke ITB
https://www.tiktok.com/@itbofficial/video/7539874622515203384,itbofficial,8-18,44.1K,2999,"POV: kami, mahasiswa baru ITB 2025, bersatu dalam satu lingkaran di Bumi Ganesha, simbol kebersamaan untuk perjalanan panjang yang siap kami tempuh. Dari sini, kami melangkah menuju masa depan penuh karya dan inspirasi.",yaallah mau itb yaallah | nggak pernah sebenci ini jadi miskin | tahun depan aku coba ya itb pls be nice  | bisa gak ya anak gak mampu kuliah di itb | mau itb mau itb mau itb | bisa g ya | pasti sma n 3 bandung | tunggu aku itb | Allahumma sholli ala Muhammad | suatu hari nanti Institut Teknologi Bandung
